top_color,bottom_color,shoes_color,style,label
black,denim,white,casual,1
red,green,yellow,casual,0
white,black,black,netjes,1
pink,orange,green,casual,0
blue,denim,white,casual,1
black,black,white,netjes,1
green,denim,black,casual,0
white,denim,black,casual,1
blue,black,white,netjes,1
red,denim,white,casual,0
beige,white,brown,netjes,1
yellow,blue,red,casual,0
grey,black,white,netjes,1
purple,green,orange,casual,0
navy,denim,white,casual,1
brown,black,black,netjes,1
lime,pink,orange,casual,0
cream,beige,brown,netjes,1
orange,blue,green,casual,0
black,white,white,netjes,1
